Year,Latitude,Longitude,NumMosquitos
2011,41.766202,-87.562889,33
2011,41.768388,-87.678649,14
2011,41.77166,-87.703047,95
2011,41.773215,-87.60088,197
2011,41.776156,-87.778927,44
2011,41.776428,-87.627096,162
2011,41.778297,-87.752411,203
2011,41.778748,-87.586427,9
2011,41.793818,-87.654234,355
2011,41.798697,-87.736812,1313
2011,41.800737,-87.71188,41
2011,41.801179,-87.679447,92
2011,41.801498,-87.763416,488
2011,41.803423,-87.642984,115
2011,41.821582,-87.627796,20
2011,41.822536,-87.666343,52
2011,41.82561,-87.726549,160
2011,41.846075,-87.716277,67
2011,41.857402,-87.694991,5
2011,41.867108,-87.654224,297
2011,41.868077,-87.666901,346
2011,41.868142,-87.696269,357
2011,41.891118,-87.654491,38
2011,41.896282,-87.655232,36
2011,41.89923,-87.716788,118
2011,41.903002,-87.688267,296
2011,41.904194,-87.756155,227
2011,41.906638,-87.701431,59
2011,41.911824,-87.726737,35
2011,41.912563,-87.668055,79
2011,41.916265,-87.800515,845
2011,41.921965,-87.632085,196
2011,41.923738,-87.785288,140
2011,41.925198,-87.746381,126
2011,41.932094,-87.700117,148
2011,41.94016,-87.794896,113
2011,41.944869,-87.832763,431
2011,41.947227,-87.671457,48
2011,41.948167,-87.730698,89
2011,41.951866,-87.725057,58
2011,41.95469,-87.800991,360
2011,41.957799,-87.930995,1054
2011,41.960616,-87.777189,35
2011,41.963976,-87.69181,40
2011,41.964242,-87.757639,572
2011,41.973845,-87.805059,797
2011,41.974689,-87.890615,4209
2011,41.984809,-87.728492,250
2011,41.986921,-87.689778,79
2011,41.98728,-87.666066,15
2011,41.991429,-87.747113,38
2011,41.992478,-87.862995,30
2011,41.994679,-87.770899,17
2011,42.008314,-87.777921,533
2011,42.009876,-87.807277,93
2011,42.010412,-87.66214,23
2011,42.01743,-87.687769,33
2013,41.659112,-87.538693,934
2013,41.662014,-87.724608,524
2013,41.673408,-87.599862,1134
2013,41.680946,-87.535198,503
2013,41.682587,-87.707973,1140
2013,41.704336,-87.703736,146
2013,41.704572,-87.565666,526
2013,41.71914,-87.669539,41
2013,41.720848,-87.666014,508
2013,41.723195,-87.64997,162
2013,41.726465,-87.585413,279
2013,41.728495,-87.600963,1011
2013,41.732984,-87.649642,645
2013,41.733643,-87.55551,58
2013,41.740641,-87.546587,457
2013,41.743402,-87.731435,820
2013,41.750498,-87.605294,404
2013,41.754292,-87.590773,186
2013,41.754676,-87.612922,242
2013,41.763733,-87.742302,168
2013,41.766202,-87.562889,133
2013,41.768388,-87.678649,218
2013,41.77166,-87.703047,706
2013,41.773215,-87.60088,236
2013,41.776156,-87.778927,222
2013,41.776428,-87.627096,395
2013,41.778297,-87.752411,219
2013,41.778748,-87.586427,38
2013,41.793818,-87.654234,420
2013,41.798697,-87.736812,472
2013,41.800737,-87.71188,319
2013,41.801179,-87.679447,453
2013,41.801498,-87.763416,329
2013,41.803423,-87.642984,278
2013,41.822536,-87.666343,343
2013,41.82561,-87.726549,185
2013,41.846075,-87.716277,173
2013,41.857402,-87.694991,61
2013,41.867108,-87.654224,640
2013,41.868077,-87.666901,594
2013,41.868142,-87.696269,425
2013,41.891118,-87.654491,128
2013,41.896282,-87.655232,57
2013,41.89923,-87.716788,1355
2013,41.904194,-87.756155,393
2013,41.906638,-87.701431,291
2013,41.911824,-87.726737,164
2013,41.912563,-87.668055,207
2013,41.916265,-87.800515,572
2013,41.921965,-87.632085,431
2013,41.923738,-87.785288,643
2013,41.925198,-87.746381,88
2013,41.925652,-87.63359,145
2013,41.932094,-87.700117,175
2013,41.944869,-87.832763,171
2013,41.947227,-87.671457,225
2013,41.951866,-87.725057,546
2013,41.95469,-87.800991,1792
2013,41.957799,-87.930995,194
2013,41.960616,-87.777189,120
2013,41.963976,-87.69181,167
2013,41.964242,-87.757639,407
2013,41.973845,-87.805059,265
2013,41.974689,-87.890615,5689
2013,41.984809,-87.728492,367
2013,41.986921,-87.689778,568
2013,41.98728,-87.666066,506
2013,41.991429,-87.747113,607
2013,41.992478,-87.862995,1085
2013,41.994679,-87.770899,358
2013,42.008314,-87.777921,1162
2013,42.009876,-87.807277,665
2013,42.010412,-87.66214,50
